"mim_val","mom_val","a1_val","gam_val","mean_TM","LCI_Tm","UCI_Tm","mean_Rj","LCI_Rj","UCI_Rj","Gift","Neutral","LCI_Neutral","UCI_Neutral","M","Beta","M_m","F_m","Mf_nupt","Mf_no_nput","Replicates"
0.041,0.081,1,1.7,0.108075216333333,0.104356893,0.111654838666667,-0.013030366,-0.016908213,-0.00918625966666667,0.135229868666667,0.000411973,-0.00368333233333333,0.004494618,0.863091214,1.48359314366667,0.655996653333333,1.144546397,0.318483521666667,2.49111642666667,3000
0.061,0.001,1,1.7,0.166472632,0.163386436333333,0.169344913,-0.0639148366666667,-0.0671197906666667,-0.0610062533333333,0.17233246,0.00267194933333333,-0.001453883,0.00666924,0.843929283333333,1.51781205866667,0.712469335666667,1.03344346733333,0.407768208,1.98114124933333,3000
0.061,0.021,1,1.7,0.152129287333333,0.149111578333333,0.155422680333333,-0.053902061,-0.0569709906666667,-0.0508512113333333,0.163994620666667,0.000575384,-0.00335654366666667,0.00442422533333333,0.846604495666667,1.51661327333333,0.702750809333333,1.052765509,0.395951923666667,2.07570183233333,3000
0.061,0.041,1,1.7,0.147781219333333,0.144374586,0.151181226333333,-0.0433284146666667,-0.046573674,-0.0400088806666667,0.160922590333333,-0.0003027,-0.00457828133333333,0.00334738466666667,0.847259795333333,1.54103424366667,0.691427500666667,1.07236778266667,0.384082844333333,2.15025885366667,3000
0.061,0.061,1,1.7,0.132036826666667,0.128457532,0.135460564,-0.0355263186666667,-0.0391366263333333,-0.0317564466666667,0.150320528,0.000992755333333333,-0.00283404966666667,0.005078652,0.853770975333333,1.52117319566667,0.682271826,1.09591660666667,0.360489629666667,2.25943268166667,3000
0.061,0.081,1,1.7,0.113051277385159,0.109267809893993,0.116701251943463,-0.0264910462897526,-0.0298062508833922,-0.0226453954063604,0.137624306360424,-0.00121264699646643,-0.00514476784452297,0.00324923533568905,0.854404287632509,1.49607981625442,0.664526839222615,1.11566792897527,0.329592006360424,2.39575310636042,2830
0.081,0.001,1,1.7,0.175110149,0.170291236,0.180159389,-0.067161828,-0.071664531,-0.062347934,0.177511068,0.000192546,-0.006632622,0.006775257,0.844932049,1.537146909,0.725366942,1.021199007,0.417760516,1.915014125,1000
0.081,0.021,1,1.7,0.164011412,0.159334163,0.168894022,-0.068340998,-0.073870795,-0.06301641,0.169245707,0.001079579,-0.005437152,0.007301371,0.841585325,1.544452131,0.711397414,1.033666035,0.407073866,1.998156957,1000
0.081,0.041,1,1.7,0.164833367,0.159811988,0.169937449,-0.055304819,-0.060913427,-0.049771112,0.168743293,0.01331308,0.006212799,0.021120026,0.846476448,1.573049462,0.708546971,1.052165245,0.403824132,2.042741872,1000
0.081,0.061,1,1.7,0.137853209,0.132511431,0.143586731,-0.044678453,-0.050078667,-0.039366576,0.153717416,-0.005054883,-0.011708763,0.001306659,0.848723182,1.536968576,0.693981671,1.072265553,0.371588058,2.173017538,1000
0.081,0.081,1,1.7,0.125003368,0.119270739,0.131293676,-0.035292553,-0.041187713,-0.029620054,0.145527472,0.00364624,-0.003262693,0.010549808,0.854743114,1.541327708,0.685852886,1.097076023,0.351810271,2.290179592,1000
0.001,0.001,1,1.6,0.118630321,0.115339623,0.122298426,-0.04166995,-0.0448934166666667,-0.0384661736666667,0.145093204,6.74759999999998e-05,-0.00363182933333333,0.00363994533333333,0.847493069,1.37564474166667,0.661576751333333,1.08509166933333,0.354320005666667,2.29504132433333,3000
0.001,0.021,1,1.6,0.105526204911742,0.100005891788181,0.110968325402916,-0.0241410383729854,-0.029095502686109,-0.0192454098234843,0.135200565617805,-0.00359704911742134,-0.00929552954719877,0.00185701381427475,0.855859540291635,1.36456726323868,0.649977511128166,1.11588541673062,0.327682176515733,2.42815117421335,1303
0.001,0.041,1,1.6,0.102888715,0.096758168,0.109381707,-0.018532666,-0.024827239,-0.011612671,0.13292258,0.007647357,0.000689169,0.014026682,0.858326619,1.387940864,0.639763605,1.138469058,0.318061021,2.515210565,1000
0.001,0.061,1,1.6,0.085566587,0.078659554,0.091659407,-0.003964766,-0.011196304,0.002717226,0.122072198,-0.008925668,-0.016167951,-0.001755959,0.865046904,1.378868942,0.622553001,1.171892462,0.288007776,2.659822714,1000
0.001,0.081,1,1.6,0.067656893,0.060733392,0.073963082,0.000438339,-0.006048208,0.007251682,0.111071687,0.000922102,-0.005800596,0.007277052,0.863299706,1.352537118,0.60006118,1.19113488,0.262994549,2.807072567,1000
0.021,0.001,1,1.6,0.135367522,0.129889704,0.141143216,-0.049648428,-0.055094646,-0.044015322,0.156431909,0.001059662,-0.006019965,0.007399215,0.84553815,1.431488241,0.681635903,1.06481115,0.380382054,2.168740119,1000
